Date, na,Open,High,Low,Close,Volume
2016.02.23,00:00,1.00000,1.00000,0.98945,0.99136,75272
2016.02.24,00:00,0.99135,0.99522,0.98518,0.98918,94947
2016.02.25,00:00,0.98919,0.99511,0.98766,0.99013,79349
2016.02.26,00:00,0.99012,0.99869,0.98704,0.99660,65325
2016.02.28,00:00,0.99745,0.99822,0.99619,0.99668,2815
2016.02.29,00:00,0.99667,1.00372,0.99483,0.99788,79948
2016.03.01,00:00,0.99787,1.00087,0.99594,0.99665,48666
2016.03.02,00:00,0.99666,1.00083,0.99544,0.99653,80698
2016.03.03,00:00,0.99653,0.99816,0.98915,0.99238,87680
2016.03.04,00:00,0.99239,0.99875,0.98776,0.99257,87028
2016.03.06,00:00,0.99343,0.99476,0.99232,0.99428,1876
2016.03.07,00:00,0.99428,1.00115,0.99276,0.99575,78441
2016.03.08,00:00,0.99575,0.99707,0.99006,0.99636,47123
2016.03.09,00:00,0.99637,1.00386,0.99388,0.99811,67804
2016.03.10,00:00,0.99811,1.00917,0.98087,0.98450,103795
2016.03.11,00:00,0.98451,0.98897,0.98026,0.98203,87539
2016.03.13,00:00,0.98287,0.98396,0.98141,0.98282,3765
2016.03.14,00:00,0.98281,0.98810,0.98248,0.98700,75598
2016.03.15,00:00,0.98700,0.98953,0.98482,0.98712,40898
2016.03.16,00:00,0.98711,0.99128,0.97493,0.97793,50051
2016.03.17,00:00,0.97796,0.97859,0.96503,0.96710,84483
2016.03.18,00:00,0.96711,0.97166,0.96535,0.96910,57726
2016.03.20,00:00,0.96960,0.96993,0.96894,0.96976,1265
2016.03.21,00:00,0.96974,0.97297,0.96747,0.97072,38271
2016.03.22,00:00,0.97074,0.97354,0.96877,0.97278,57300
2016.03.23,00:00,0.97279,0.97652,0.97247,0.97544,57681
2016.03.24,00:00,0.97543,0.97727,0.97360,0.97581,56602
2016.03.25,00:00,0.97581,0.97865,0.97538,0.97724,23544
2016.03.27,00:00,0.97633,0.97851,0.97624,0.97847,1316
2016.03.28,00:00,0.97846,0.97852,0.97214,0.97350,29843
2016.03.29,00:00,0.97350,0.97621,0.96550,0.96643,79739
2016.03.30,00:00,0.96643,0.96695,0.95913,0.96503,70600
2016.03.31,00:00,0.96507,0.96618,0.95707,0.96110,75407
2016.04.01,00:00,0.96112,0.96249,0.95527,0.95721,66001
2016.04.03,00:00,0.95800,0.95916,0.95668,0.95862,2112
2016.04.04,00:00,0.95861,0.96140,0.95714,0.95898,58593
2016.04.05,00:00,0.95900,0.96037,0.95453,0.95654,65741
2016.04.06,00:00,0.95655,0.96209,0.95291,0.95568,70208
